_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,node_id,participant_id,module_state_id,trial_maker_id,definition,complete,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x146b05e70>},False,{},11,2023-02-16 17:02:23,False,,,ConsonanceTrial,8,8,,8,2,11,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 1, 'duration': 10, 'lower_pitch': 65.44704315531378, 'pitch_interval': 5.811792135252468, 'upper_pitch': 71.25883529056625}",True,True,False,,0.0,,3,True,28,,,7.939,96.0,103.5,7.5,0,default,ConsonanceTrial,Info
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x146b07b80>},False,{},13,2023-02-16 17:02:33,False,,,ConsonanceTrial,43,43,,43,2,11,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 36, 'duration': 10, 'lower_pitch': 66.68686572098625, 'pitch_interval': 6.157582746710773, 'upper_pitch': 72.84444846769702}",True,True,False,,0.0,,6,True,30,,,4.095,103.5,111.0,7.5,0,default,ConsonanceTrial,Info
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x1472e0be0>},False,{},15,2023-02-16 17:02:39,False,,,ConsonanceTrial,27,27,,27,2,11,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 20, 'duration': 10, 'lower_pitch': 65.99948299515111, 'pitch_interval': 14.510590544385748, 'upper_pitch': 80.51007353953686}",True,True,False,,0.0,,2,True,34,,,9.42,111.0,118.5,7.5,0,default,ConsonanceTrial,Info
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x1472e0a90>},False,{},16,2023-02-16 17:02:50,False,,,ConsonanceTrial,18,18,,18,2,11,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 11, 'duration': 10, 'lower_pitch': 65.03766188906869, 'pitch_interval': 11.51223948169935, 'upper_pitch': 76.54990137076804}",True,True,False,,0.0,,4,True,36,,,4.936,118.5,126.0,7.5,0,default,ConsonanceTrial,Info
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x1472e10f0>},False,{},17,2023-02-16 17:02:57,False,,,ConsonanceTrial,33,33,,33,2,11,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 26, 'duration': 10, 'lower_pitch': 66.27389474506832, 'pitch_interval': 0.7299450391295115, 'upper_pitch': 67.00383978419784}",True,True,False,,0.0,,2,True,38,,,4.828,126.0,133.5,7.5,0,default,ConsonanceTrial,Info
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x1472e17b0>},False,{},18,2023-02-16 17:02:58,False,,,ConsonanceTrial,14,14,,14,3,14,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 7, 'duration': 10, 'lower_pitch': 65.02649721466214, 'pitch_interval': 0.9209559393814282, 'upper_pitch': 65.94745315404357}",True,True,False,,0.0,,2,True,39,,,5.44,96.0,103.5,7.5,0,default,ConsonanceTrial,Info
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x1472e2770>},False,{},19,2023-02-16 17:03:03,False,,,ConsonanceTrial,52,52,,52,2,11,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 45, 'duration': 10, 'lower_pitch': 66.20531495076139, 'pitch_interval': 5.951991954635954, 'upper_pitch': 72.15730690539735}",True,True,False,,0.0,,4,True,40,,,6.242,133.5,141.0,7.5,0,default,ConsonanceTrial,Info
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x1472e23e0>},False,{},20,2023-02-16 17:03:04,False,,,ConsonanceTrial,20,20,,20,3,14,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 13, 'duration': 10, 'lower_pitch': 66.36328749076225, 'pitch_interval': 7.671807673308165, 'upper_pitch': 74.03509516407041}",True,True,False,,0.0,,3,True,41,,,11.128,103.5,111.0,7.5,0,default,ConsonanceTrial,Info
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x1472e1ab0>},False,{},21,2023-02-16 17:03:11,False,,,ConsonanceTrial,21,21,,21,2,11,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 14, 'duration': 10, 'lower_pitch': 66.11197394573989, 'pitch_interval': 1.1407130165212083, 'upper_pitch': 67.2526869622611}",True,True,False,,0.0,,2,True,42,,,4.394,141.0,148.5,7.5,0,default,ConsonanceTrial,Info
{'stimulus': <psynet.asset.FastFunctionAsset object at 0x1472e3d00>},False,{},22,2023-02-16 17:03:16,False,,,ConsonanceTrial,34,34,,34,3,14,consonance_main_experiment,"{'timbre': 'carillon', 'repetition': 27, 'duration': 10, 'lower_pitch': 66.92646261445921, 'pitch_interval': 8.673484911068408, 'upper_pitch': 75.59994752552763}",True,True,False,,0.0,,4,True,43,,,3.719,111.0,118.5,7.5,0,default,ConsonanceTrial,Info
